event_id,match_ts,match_date_utc,match_label,opponent,home_away,player_id,player_name,display_name,minutes_played,passes_p90,tackles_won_p90,duels_won_p90,successful_dribbles_p90,defensive_actions_p90,key_passes_p90,possession_lost_p90,touches_p90,pass_accuracy_match,ball_losses_per_touch_pct,duels_total,ground_duels,air_duels,ground_duels_won,air_duels_won,shots_on_target,shots_total,interceptions,crosses_total,crosses_accurate,crosses_accuracy_pct,duels_total_p90,ground_duels_p90,air_duels_p90,ground_duels_won_p90,air_duels_won_p90,shots_on_target_p90,shots_total_p90,interceptions_p90,crosses_total_p90,crosses_accurate_p90
14056357,1756046700,2025-08-24T14:45:00+00:00,TOP Oss. Thuis,TOP Oss,Thuis,1048226,Teun van Grunsven,T. v. Grunsven - 4,68.0,48.970588235294116,0.0,3.9705882352941178,0.0,7.9411764705882355,1.3235294117647058,7.9411764705882355,59.55882352941176,86.48648648648648,13.333333333333334,4.0,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,,5.294117647058823,1.3235294117647058,3.9705882352941178,1.3235294117647058,2.6470588235294117,0.0,0.0,1.3235294117647058,0.0,0.0
14056357,1756046700,2025-08-24T14:45:00+00:00,TOP Oss. Thuis,TOP Oss,Thuis,1048428,Thijs van Leeuwen,T. v. Leeuwen - 10,85.0,39.1764705882353,2.1176470588235294,7.411764705882353,1.0588235294117647,9.529411764705882,9.529411764705882,15.882352941176471,65.6470588235294,78.37837837837837,24.19354838709678,14.0,11.0,3.0,6.0,1.0,2.0,3.0,1.0,2.0,1.0,50.0,14.823529411764707,11.647058823529413,3.176470588235294,6.352941176470588,1.0588235294117647,2.1176470588235294,3.176470588235294,1.0588235294117647,2.1176470588235294,1.0588235294117647
14056357,1756046700,2025-08-24T14:45:00+00:00,TOP Oss. Thuis,TOP Oss,Thuis,1886193,Zaid el Bakkali,Z. e. Bakkali - 26,21.0,30.0,0.0,4.285714285714286,0.0,12.857142857142856,4.285714285714286,17.142857142857142,55.714285714285715,71.42857142857143,30.769230769230766,3.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,12.857142857142856,8.571428571428571,4.285714285714286,0.0,4.285714285714286,0.0,4.285714285714286,4.285714285714286,4.285714285714286,0.0
14056366,1756490400,2025-08-29T18:00:00+00:00,FC Emmen. Uit,FC Emmen,Uit,1867510,Bohao Wang,B. Wang - 16,14.0,25.71428571428571,0.0,12.857142857142856,0.0,6.428571428571428,0.0,19.285714285714285,51.42857142857142,50.0,37.5,4.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,25.71428571428571,19.285714285714285,6.428571428571428,6.428571428571428,6.428571428571428,0.0,0.0,0.0,0.0,0.0
14056366,1756490400,2025-08-29T18:00:00+00:00,FC Emmen. Uit,FC Emmen,Uit,1186805,Chahid El Allachi,C. E. Allachi - 51,8.0,11.25,0.0,0.0,0.0,0.0,0.0,11.25,45.0,100.0,25.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,11.25,11.25,0.0,0.0,0.0,0.0,11.25,0.0,11.25,0.0
14056366,1756490400,2025-08-29T18:00:00+00:00,FC Emmen. Uit,FC Emmen,Uit,1509758,Denzel Kuijpers,D. Kuijpers - 19,14.0,6.428571428571428,0.0,6.428571428571428,0.0,0.0,0.0,19.285714285714285,19.285714285714285,0.0,100.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,19.285714285714285,0.0,19.285714285714285,0.0,6.428571428571428,0.0,0.0,0.0,0.0,0.0
14056366,1756490400,2025-08-29T18:00:00+00:00,FC Emmen. Uit,FC Emmen,Uit,73501,Danny Verbeek,D. Verbeek - 11,45.0,24.0,2.0,4.0,0.0,8.0,2.0,18.0,42.0,66.66666666666666,42.857142857142854,4.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,1.0,25.0,8.0,8.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,2.0
14056366,1756490400,2025-08-29T18:00:00+00:00,FC Emmen. Uit,FC Emmen,Uit,1860773,Emian-Johar Semedo,E. Semedo - 17,14.0,19.285714285714285,0.0,6.428571428571428,0.0,0.0,0.0,19.285714285714285,38.57142857142857,66.66666666666666,50.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,19.285714285714285,6.428571428571428,12.857142857142856,0.0,6.428571428571428,0.0,0.0,0.0,0.0,0.0
14056366,1756490400,2025-08-29T18:00:00+00:00,FC Emmen. Uit,FC Emmen,Uit,1492733,Ilias Boumassaoudi,I. Boumassaoudi - 40,76.0,17.763157894736842,2.3684210526315788,2.3684210526315788,0.0,7.105263157894736,0.0,10.657894736842104,29.60526315789474,66.66666666666666,35.99999999999999,8.0,7.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,9.473684210526315,8.289473684210526,1.1842105263157894,2.3684210526315788,0.0,0.0,1.1842105263157894,0.0,0.0,0.0
14056366,1756490400,2025-08-29T18:00:00+00:00,FC Emmen. Uit,FC Emmen,Uit,52753,Jeffrey Fortes,J. Fortes - 22,40.0,42.75,0.0,4.5,0.0,11.25,0.0,22.5,69.75,68.42105263157895,32.25806451612903,6.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,,13.5,6.75,6.75,2.25,2.25,0.0,0.0,2.25,0.0,0.0
